timestamp,datetime,wagon_id,train_id,event,track_id,status,rejection_reason,rejection_description
4028.5,2025-12-03T19:08:30+00:00,W0133,,PARKED,parking8,PARKED,,
4028.5,2025-12-03T19:08:30+00:00,W0172,,PARKED,parking8,PARKED,,
4045.5,2025-12-03T19:25:30+00:00,W0173,,PARKED,parking1,PARKED,,
4057.0,2025-12-03T19:37:00+00:00,W0134,,RETROFIT_COMPLETED,WS_03,COMPLETED,,
4057.0,2025-12-03T19:37:00+00:00,W0145,,RETROFIT_COMPLETED,WS_03,COMPLETED,,
4058.5,2025-12-03T19:38:30+00:00,W0159,,MOVING,collection2,MOVING,,
4062.0,2025-12-03T19:42:00+00:00,W0190,,RAKE_COUPLING_STARTED,collection1,COUPLING,,
4062.0,2025-12-03T19:42:00+00:00,W0219,,RAKE_COUPLING_STARTED,collection1,COUPLING,,
4062.0,2025-12-03T19:42:00+00:00,W0220,,RAKE_COUPLING_STARTED,collection1,COUPLING,,
4062.5,2025-12-03T19:42:30+00:00,W0134,,RAKE_COUPLING_STARTED,WS_03,COUPLING,,
4062.5,2025-12-03T19:42:30+00:00,W0145,,RAKE_COUPLING_STARTED,WS_03,COUPLING,,
4064.5,2025-12-03T19:44:30+00:00,W0134,,RAKE_COUPLING_COMPLETED,WS_03,WAITING,,
4064.5,2025-12-03T19:44:30+00:00,W0145,,RAKE_COUPLING_COMPLETED,WS_03,WAITING,,
4064.5,2025-12-03T19:44:30+00:00,W0134,,MOVING,WS_03,MOVING,,
4064.5,2025-12-03T19:44:30+00:00,W0145,,MOVING,WS_03,MOVING,,
4065.5,2025-12-03T19:45:30+00:00,W0135,,RETROFIT_COMPLETED,WS_01,COMPLETED,,
4065.5,2025-12-03T19:45:30+00:00,W0136,,RETROFIT_COMPLETED,WS_01,COMPLETED,,
4069.0,2025-12-03T19:49:00+00:00,W0190,,MOVING,collection1,MOVING,,
4069.0,2025-12-03T19:49:00+00:00,W0219,,MOVING,collection1,MOVING,,
4069.0,2025-12-03T19:49:00+00:00,W0220,,MOVING,collection1,MOVING,,
4069.5,2025-12-03T19:49:30+00:00,W0134,,ON_RETROFITTED_TRACK,retrofitted1,WAITING,,
4069.5,2025-12-03T19:49:30+00:00,W0145,,ON_RETROFITTED_TRACK,retrofitted1,WAITING,,
4071.0,2025-12-03T19:51:00+00:00,W0135,,RAKE_COUPLING_STARTED,WS_01,COUPLING,,
4071.0,2025-12-03T19:51:00+00:00,W0136,,RAKE_COUPLING_STARTED,WS_01,COUPLING,,
4073.0,2025-12-03T19:53:00+00:00,W0135,,RAKE_COUPLING_COMPLETED,WS_01,WAITING,,
4073.0,2025-12-03T19:53:00+00:00,W0136,,RAKE_COUPLING_COMPLETED,WS_01,WAITING,,
4073.0,2025-12-03T19:53:00+00:00,W0135,,MOVING,WS_01,MOVING,,
4073.0,2025-12-03T19:53:00+00:00,W0136,,MOVING,WS_01,MOVING,,
4078.0,2025-12-03T19:58:00+00:00,W0174,,RETROFIT_COMPLETED,WS_02,COMPLETED,,
4078.0,2025-12-03T19:58:00+00:00,W0175,,RETROFIT_COMPLETED,WS_02,COMPLETED,,
4078.0,2025-12-03T19:58:00+00:00,W0135,,ON_RETROFITTED_TRACK,retrofitted1,WAITING,,
4078.0,2025-12-03T19:58:00+00:00,W0136,,ON_RETROFITTED_TRACK,retrofitted1,WAITING,,
4093.0,2025-12-03T20:13:00+00:00,W0137,,MOVING,retrofit2,MOVING,,
4093.0,2025-12-03T20:13:00+00:00,W0154,,MOVING,retrofit2,MOVING,,
4098.0,2025-12-03T20:18:00+00:00,W0137,,AT_WORKSHOP,WS_03,ARRIVED,,
4098.0,2025-12-03T20:18:00+00:00,W0154,,AT_WORKSHOP,WS_03,ARRIVED,,
4104.0,2025-12-03T20:24:00+00:00,W0137,,RETROFIT_STARTED,WS_03,PROCESSING,,
4104.0,2025-12-03T20:24:00+00:00,W0154,,RETROFIT_STARTED,WS_03,PROCESSING,,
4114.0,2025-12-03T20:34:00+00:00,W0174,,RAKE_COUPLING_STARTED,WS_02,COUPLING,,
4114.0,2025-12-03T20:34:00+00:00,W0175,,RAKE_COUPLING_STARTED,WS_02,COUPLING,,
4116.0,2025-12-03T20:36:00+00:00,W0174,,RAKE_COUPLING_COMPLETED,WS_02,WAITING,,
4116.0,2025-12-03T20:36:00+00:00,W0175,,RAKE_COUPLING_COMPLETED,WS_02,WAITING,,
4116.0,2025-12-03T20:36:00+00:00,W0174,,MOVING,WS_02,MOVING,,
4116.0,2025-12-03T20:36:00+00:00,W0175,,MOVING,WS_02,MOVING,,
4118.5,2025-12-03T20:38:30+00:00,W0159,,ON_RETROFIT_TRACK,retrofit2,WAITING,,
4121.0,2025-12-03T20:41:00+00:00,W0174,,ON_RETROFITTED_TRACK,retrofitted1,WAITING,,
4121.0,2025-12-03T20:41:00+00:00,W0175,,ON_RETROFITTED_TRACK,retrofitted1,WAITING,,
4129.0,2025-12-03T20:49:00+00:00,W0190,,ON_RETROFIT_TRACK,retrofit1,WAITING,,
4129.0,2025-12-03T20:49:00+00:00,W0219,,ON_RETROFIT_TRACK,retrofit1,WAITING,,
4129.0,2025-12-03T20:49:00+00:00,W0220,,ON_RETROFIT_TRACK,retrofit1,WAITING,,
4136.0,2025-12-03T20:56:00+00:00,W0146,,MOVING,retrofit1,MOVING,,
4136.0,2025-12-03T20:56:00+00:00,W0176,,MOVING,retrofit1,MOVING,,
4136.5,2025-12-03T20:56:30+00:00,W0155,,MOVING,retrofit2,MOVING,,
4136.5,2025-12-03T20:56:30+00:00,W0156,,MOVING,retrofit2,MOVING,,
4141.0,2025-12-03T21:01:00+00:00,W0146,,AT_WORKSHOP,WS_01,ARRIVED,,
4141.0,2025-12-03T21:01:00+00:00,W0176,,AT_WORKSHOP,WS_01,ARRIVED,,
4141.5,2025-12-03T21:01:30+00:00,W0155,,AT_WORKSHOP,WS_02,ARRIVED,,
4141.5,2025-12-03T21:01:30+00:00,W0156,,AT_WORKSHOP,WS_02,ARRIVED,,
4143.0,2025-12-03T21:03:00+00:00,W0134,,PARKED,parking10,PARKED,,
4143.0,2025-12-03T21:03:00+00:00,W0145,,PARKED,parking10,PARKED,,
4147.0,2025-12-03T21:07:00+00:00,W0146,,RETROFIT_STARTED,WS_01,PROCESSING,,
4147.0,2025-12-03T21:07:00+00:00,W0176,,RETROFIT_STARTED,WS_01,PROCESSING,,
4147.5,2025-12-03T21:07:30+00:00,W0155,,RETROFIT_STARTED,WS_02,PROCESSING,,
4147.5,2025-12-03T21:07:30+00:00,W0156,,RETROFIT_STARTED,WS_02,PROCESSING,,
4164.0,2025-12-03T21:24:00+00:00,W0137,,RETROFIT_COMPLETED,WS_03,COMPLETED,,
4164.0,2025-12-03T21:24:00+00:00,W0154,,RETROFIT_COMPLETED,WS_03,COMPLETED,,
4169.5,2025-12-03T21:29:30+00:00,W0137,,RAKE_COUPLING_STARTED,WS_03,COUPLING,,
4169.5,2025-12-03T21:29:30+00:00,W0154,,RAKE_COUPLING_STARTED,WS_03,COUPLING,,
4171.5,2025-12-03T21:31:30+00:00,W0137,,RAKE_COUPLING_COMPLETED,WS_03,WAITING,,
4171.5,2025-12-03T21:31:30+00:00,W0154,,RAKE_COUPLING_COMPLETED,WS_03,WAITING,,
4171.5,2025-12-03T21:31:30+00:00,W0137,,MOVING,WS_03,MOVING,,
4171.5,2025-12-03T21:31:30+00:00,W0154,,MOVING,WS_03,MOVING,,
4176.5,2025-12-03T21:36:30+00:00,W0137,,ON_RETROFITTED_TRACK,retrofitted1,WAITING,,
4176.5,2025-12-03T21:36:30+00:00,W0154,,ON_RETROFITTED_TRACK,retrofitted1,WAITING,,
4191.5,2025-12-03T21:51:30+00:00,W0177,,MOVING,retrofit1,MOVING,,
4191.5,2025-12-03T21:51:30+00:00,W0178,,MOVING,retrofit1,MOVING,,
4196.5,2025-12-03T21:56:30+00:00,W0177,,AT_WORKSHOP,WS_03,ARRIVED,,
4196.5,2025-12-03T21:56:30+00:00,W0178,,AT_WORKSHOP,WS_03,ARRIVED,,
4202.5,2025-12-03T22:02:30+00:00,W0177,,RETROFIT_STARTED,WS_03,PROCESSING,,
4202.5,2025-12-03T22:02:30+00:00,W0178,,RETROFIT_STARTED,WS_03,PROCESSING,,
4207.0,2025-12-03T22:07:00+00:00,W0146,,RETROFIT_COMPLETED,WS_01,COMPLETED,,
