timestamp,datetime,locomotive_id,event,from_location,to_location,purpose
1829.5,2025-12-02T06:29:30+00:00,LOCO_01,MOVING,track_19,retrofit1,
1837.5,2025-12-02T06:37:30+00:00,LOCO_01,MOVING,retrofit1,WS_02,
1848.5,2025-12-02T06:48:30+00:00,LOCO_01,MOVING,WS_02,track_19,
1853.5,2025-12-02T06:53:30+00:00,LOCO_01,MOVING,track_19,WS_03,
1860.5,2025-12-02T07:00:30+00:00,LOCO_03,ALLOCATED,,,batch_transport
1860.5,2025-12-02T07:00:30+00:00,LOCO_01,MOVING,WS_03,retrofitted1,
1865.5,2025-12-02T07:05:30+00:00,LOCO_01,MOVING,retrofitted1,track_19,
1869.5,2025-12-02T07:09:30+00:00,LOCO_03,MOVING,collection1,retrofit1,
1870.5,2025-12-02T07:10:30+00:00,LOCO_01,MOVING,track_19,WS_01,
1873.5,2025-12-02T07:13:30+00:00,LOCO_02,MOVING,parking12,track_19,
1877.5,2025-12-02T07:17:30+00:00,LOCO_01,MOVING,WS_01,retrofitted1,
1882.5,2025-12-02T07:22:30+00:00,LOCO_01,MOVING,retrofitted1,track_19,
1889.5,2025-12-02T07:29:30+00:00,LOCO_01,MOVING,track_19,retrofit2,
1897.5,2025-12-02T07:37:30+00:00,LOCO_01,MOVING,retrofit2,WS_03,
1904.0,2025-12-02T07:44:00+00:00,LOCO_04,MOVING,retrofit2,track_19,
1908.5,2025-12-02T07:48:30+00:00,LOCO_01,MOVING,WS_03,track_19,
1909.0,2025-12-02T07:49:00+00:00,LOCO_04,PARKING,,,
1911.0,2025-12-02T07:51:00+00:00,LOCO_04,MOVING,track_19,retrofit1,
1913.5,2025-12-02T07:53:30+00:00,LOCO_01,MOVING,track_19,WS_02,
1919.0,2025-12-02T07:59:00+00:00,LOCO_04,MOVING,retrofit1,WS_01,
1920.5,2025-12-02T08:00:30+00:00,LOCO_01,MOVING,WS_02,retrofitted1,
1925.5,2025-12-02T08:05:30+00:00,LOCO_01,MOVING,retrofitted1,track_19,
1930.0,2025-12-02T08:10:00+00:00,LOCO_04,MOVING,WS_01,track_19,
1930.5,2025-12-02T08:10:30+00:00,LOCO_01,MOVING,track_19,collection2,
1935.0,2025-12-02T08:15:00+00:00,LOCO_04,ALLOCATED,,,batch_transport
1935.0,2025-12-02T08:15:00+00:00,LOCO_04,MOVING,track_19,retrofitted1,
1935.5,2025-12-02T08:15:30+00:00,LOCO_02,MOVING,track_19,retrofit2,
1943.5,2025-12-02T08:23:30+00:00,LOCO_02,MOVING,retrofit2,WS_02,
1945.0,2025-12-02T08:25:00+00:00,LOCO_04,MOVING,retrofitted1,parking14,
1950.5,2025-12-02T08:30:30+00:00,LOCO_03,MOVING,retrofit1,track_19,
1954.5,2025-12-02T08:34:30+00:00,LOCO_02,MOVING,WS_02,track_19,
1955.5,2025-12-02T08:35:30+00:00,LOCO_03,PARKING,,,
1955.5,2025-12-02T08:35:30+00:00,LOCO_03,MOVING,track_19,collection1,
1969.0,2025-12-02T08:49:00+00:00,LOCO_02,MOVING,track_19,WS_03,
1976.0,2025-12-02T08:56:00+00:00,LOCO_02,MOVING,WS_03,retrofitted1,
1981.0,2025-12-02T09:01:00+00:00,LOCO_02,MOVING,retrofitted1,track_19,
1988.0,2025-12-02T09:08:00+00:00,LOCO_02,MOVING,track_19,retrofit1,
