timestamp,datetime,event_type,resource_type,resource_id,details
2160.5,2025-12-02T12:00:30+00:00,WagonMOVINGEvent,wagon,W0152,"{""location"": ""collection3"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2160.5,2025-12-02T12:00:30+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_01,"{""from_location"": ""collection3"", ""to_location"": ""retrofit1"", ""purpose"": """"}"
2160.5,2025-12-02T12:00:30+00:00,BatchTransportStarted,batch,BATCH_retrofit_3_2500867316688,"{""destination"": ""retrofit"", ""wagon_count"": 3, ""locomotive_id"": ""LOCO_01""}"
2161.5,2025-12-02T12:01:30+00:00,WagonMOVINGEvent,wagon,W0055,"{""location"": ""retrofit1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2161.5,2025-12-02T12:01:30+00:00,WagonMOVINGEvent,wagon,W0066,"{""location"": ""retrofit1"", ""status"": ""MOVING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2161.5,2025-12-02T12:01:30+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_03,"{""from_location"": ""retrofit1"", ""to_location"": ""WS_01"", ""purpose"": """"}"
2164.0,2025-12-02T12:04:00+00:00,WagonPARKEDEvent,wagon,W0081,"{""location"": ""parking12"", ""status"": ""PARKED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2164.0,2025-12-02T12:04:00+00:00,WagonPARKEDEvent,wagon,W0082,"{""location"": ""parking12"", ""status"": ""PARKED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2164.0,2025-12-02T12:04:00+00:00,WagonPARKEDEvent,wagon,W0049,"{""location"": ""parking12"", ""status"": ""PARKED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2164.0,2025-12-02T12:04:00+00:00,WagonPARKEDEvent,wagon,W0050,"{""location"": ""parking12"", ""status"": ""PARKED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2164.0,2025-12-02T12:04:00+00:00,WagonPARKEDEvent,wagon,W0083,"{""location"": ""parking12"", ""status"": ""PARKED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2164.0,2025-12-02T12:04:00+00:00,WagonPARKEDEvent,wagon,W0084,"{""location"": ""parking12"", ""status"": ""PARKED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2164.0,2025-12-02T12:04:00+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_04,"{""from_location"": ""parking12"", ""to_location"": ""track_19"", ""purpose"": """"}"
2164.0,2025-12-02T12:04:00+00:00,BatchArrivedAtDestination,batch,BATCH_parking12_6_2500866436176,"{""destination"": ""parking12"", ""wagon_count"": 6, ""locomotive_id"": """"}"
2166.5,2025-12-02T12:06:30+00:00,WagonAT_WORKSHOPEvent,wagon,W0055,"{""location"": ""WS_01"", ""status"": ""ARRIVED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2166.5,2025-12-02T12:06:30+00:00,WagonAT_WORKSHOPEvent,wagon,W0066,"{""location"": ""WS_01"", ""status"": ""ARRIVED"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2172.5,2025-12-02T12:12:30+00:00,WagonRETROFIT_STARTEDEvent,wagon,W0055,"{""location"": ""WS_01"", ""status"": ""PROCESSING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2172.5,2025-12-02T12:12:30+00:00,WagonRETROFIT_STARTEDEvent,wagon,W0066,"{""location"": ""WS_01"", ""status"": ""PROCESSING"", ""train_id"": """", ""rejection_reason"": """", ""rejection_description"": """"}"
2172.5,2025-12-02T12:12:30+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_03,"{""from_location"": ""WS_01"", ""to_location"": ""track_19"", ""purpose"": """"}"
2177.5,2025-12-02T12:17:30+00:00,LocomotiveMOVINGEvent,locomotive,LOCO_03,"{""from_location"": ""track_19"", ""to_location"": ""collection1"", ""purpose"": """"}"
