timestamp,datetime,workshop_id,change_type,total_bays,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
4202.5,2025-12-03T22:02:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
4207.0,2025-12-03T22:07:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4207.5,2025-12-03T22:07:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4245.5,2025-12-03T22:45:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4246.0,2025-12-03T22:46:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4262.5,2025-12-03T23:02:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
4301.0,2025-12-03T23:41:00+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
4305.5,2025-12-03T23:45:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4306.0,2025-12-03T23:46:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4344.0,2025-12-04T00:24:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4344.5,2025-12-04T00:24:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4361.0,2025-12-04T00:41:00+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
4399.5,2025-12-04T01:19:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
4404.0,2025-12-04T01:24:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4404.5,2025-12-04T01:24:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4442.5,2025-12-04T02:02:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4443.0,2025-12-04T02:03:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4459.5,2025-12-04T02:19:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
4498.0,2025-12-04T02:58:00+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
4502.5,2025-12-04T03:02:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4503.0,2025-12-04T03:03:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4541.0,2025-12-04T03:41:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4541.5,2025-12-04T03:41:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4558.0,2025-12-04T03:58:00+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
4596.5,2025-12-04T04:36:30+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
4601.0,2025-12-04T04:41:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4601.5,2025-12-04T04:41:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4639.5,2025-12-04T05:19:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4640.0,2025-12-04T05:20:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4656.5,2025-12-04T05:36:30+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
4695.0,2025-12-04T06:15:00+00:00,WS_03,bay_occupied,2,0,2,2,0,0.0,100.0
4699.5,2025-12-04T06:19:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4700.0,2025-12-04T06:20:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4738.0,2025-12-04T06:58:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4755.0,2025-12-04T07:15:00+00:00,WS_03,bay_freed,2,2,0,0,2,100.0,0.0
4798.0,2025-12-04T07:58:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
